zip,primary_city,state,county,area_codes
40932,Fall Rock,KY,Clay County,606
40935,Flat Lick,KY,Knox County,606
40939,Fourmile,KY,Bell County,
40940,Frakes,KY,Whitley County,606
40941,Garrard,KY,Clay County,606
40943,Girdler,KY,Knox County,606
40944,Goose Rock,KY,Clay County,606
40946,Green Road,KY,Knox County,606
40949,Heidrick,KY,Knox County,606
40951,Hima,KY,Clay County,606
40953,Hinkle,KY,Knox County,606
40955,Ingram,KY,Bell County,606
40958,Kettle Island,KY,Bell County,606
40962,Manchester,KY,Clay County,606
40964,Mary Alice,KY,Harlan County,606
40965,Middlesboro,KY,Bell County,606
40972,Oneida,KY,Clay County,606
40977,Pineville,KY,Bell County,606
40979,Roark,KY,Leslie County,606
40981,Saul,KY,Perry County,606
40982,Scalf,KY,Knox County,606
40983,Sextons Creek,KY,Clay County,606
40988,Stoney Fork,KY,Bell County,606
40995,Trosper,KY,Knox County,606
40997,Walker,KY,Knox County,606
40999,Woollum,KY,Knox County,606
41001,Alexandria,KY,Campbell County,859
41002,Augusta,KY,Bracken County,606
41003,Berry,KY,Harrison County,606
41004,Brooksville,KY,Bracken County,606
41005,Burlington,KY,Boone County,859
41006,Butler,KY,Pendleton County,859
41007,California,KY,Campbell County,606
41008,Carrollton,KY,Carroll County,502
41010,Corinth,KY,Grant County,
41011,Covington,KY,Kenton County,859
41012,Covington,KY,Kenton County,859
41014,Covington,KY,Kenton County,859
41015,Latonia,KY,Kenton County,859
41016,Covington,KY,Kenton County,859
41017,Ft Mitchell,KY,Kenton County,859
41018,Erlanger,KY,Kenton County,859
41019,Covington,KY,Kenton County,859
41021,Hebron,KY,,
41022,Florence,KY,Boone County,859
41025,Erlanger,KY,,
41030,Crittenden,KY,Grant County,859
41031,Cynthiana,KY,Harrison County,859
41033,De Mossville,KY,Pendleton County,859
41034,Dover,KY,Mason County,606
41035,Dry Ridge,KY,Grant County,
41037,Elizaville,KY,Fleming County,606
41039,Ewing,KY,Fleming County,606
41040,Falmouth,KY,Pendleton County,859
41041,Flemingsburg,KY,Fleming County,606
41042,Florence,KY,Boone County,859
41043,Foster,KY,Bracken County,606
41044,Germantown,KY,Bracken County,606
41045,Ghent,KY,Carroll County,502
41046,Glencoe,KY,Gallatin County,859
41048,Hebron,KY,Boone County,859
41049,Hillsboro,KY,Fleming County,606
41051,Independence,KY,Kenton County,859
41052,Jonesville,KY,Grant County,859
41053,Kenton,KY,Kenton County,859
41054,Mason,KY,Grant County,859
41055,Mayslick,KY,Mason County,606
41056,Maysville,KY,Mason County,606
41059,Melbourne,KY,Campbell County,859
41061,Milford,KY,Bracken County,606
41062,Minerva,KY,Mason County,606
41063,Morning View,KY,Kenton County,859
41064,Mount Olivet,KY,Robertson County,606
41065,Muses Mills,KY,Fleming County,606
41071,Newport,KY,Campbell County,859
41072,Newport,KY,Campbell County,859
41073,Bellevue,KY,Campbell County,859
41074,Dayton,KY,Campbell County,859
41075,Fort Thomas,KY,Campbell County,859
41076,Newport,KY,Campbell County,859
41080,Petersburg,KY,Boone County,859
41081,Plummers Landing,KY,Fleming County,606
41083,Sanders,KY,Carroll County,502859
41085,Silver Grove,KY,Campbell County,859
41086,Sparta,KY,Gallatin County,502859
41091,Union,KY,Boone County,859
41092,Verona,KY,Boone County,
41093,Wallingford,KY,Fleming County,606
